,C,H,C=C,C#C,Ar,O-alc,O-eth,O-ald,O-ket,O-acid,O-ester,R3,R4,R5,R6,R7,R8,M,measured_st,molecule,density
84,8.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.23100000000002,27.1,1-Octanol,0.8270000000000001
85,8.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.231,27.1,2-Ethyl-1-hexanol,0.8344
86,9.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.258,27.9,Nonanol,0.8279
87,10.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.285,28.4,Decanol,0.8297
88,11.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.31199999999998,28.6,Undecanol,0.8298
89,12.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.33899999999997,29.4,Dodecanol,0.8309
90,3.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08,25.3,Allyl alcohol,0.8540000000000001
91,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.064,35.4,Propargyl alcohol,0.9715
92,3.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.095,30.8,2-Methoxyethanol,0.9661
93,6.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.16099999999999,32.9,Cyclohexanol,0.9624
94,7.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,114.188,32.7,Cycloheptanol,0.9554
95,7.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.13999999999997,37.0,Benzyl alcohol,1.0419
96,9.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.19399999999996,33.5,1-Phenyl-1-propanol,0.9940000000000001
97,7.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.13999999999997,35.7,m-Cresol,1.034
98,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.068000000000005,47.8,"1,2-Ethanediol",1.1135
99,3.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.09499999999998,36.0,"1,2-Propanediol",1.037
100,3.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.095,45.2,Trimethylene glycol,1.0529
101,4.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.122,37.7,"1,3-Butanediol",1.0059
102,4.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.121,44.8,Diethylene glycol,1.18
103,4.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.122,28.6,2-Ethoxyethanol,0.9309999999999999
104,4.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.122,27.6,Propylene glycol methyl ether,0.9620000000000001
105,5.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.149,29.3,Ethylene glycol propyl ether,0.9112
106,6.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.17599999999999,27.4,2-Butoxyethanol,0.9012
107,6.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.175,33.5,Diethylene glycol ethyl ether,0.987
108,7.0,16.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.201,36.8,Triethylene glycol methyl ether,1.0476
109,8.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.23,27.7,Ethylene glycol hexyl ether,0.8894
110,8.0,18.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.22899999999998,29.7,Diethylene glycol monobutyl ether,0.9536
111,6.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.174,45.1,Triethylene glycol,1.125
112,10.0,22.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.28299999999996,29.8,Diethylene glycol hexyl ether,0.935
