,C,CH,CH2,CH3,C-ring,CH-ring,CH2-ring,C=C,C#C,Ar,OH,C-O-C,CHO,CO,COOR,M,COOH,measured_st,molecule,density
102,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,106.121,0.0,44.8,Diethylene glycol,1.18
103,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,90.122,0.0,28.6,2-Ethoxyethanol,0.9309999999999999
104,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,90.122,0.0,27.6,Propylene glycol methyl ether,0.9620000000000001
105,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,104.149,0.0,29.3,Ethylene glycol propyl ether,0.9112
106,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,118.17599999999999,0.0,27.4,2-Butoxyethanol,0.9012
107,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,134.175,0.0,33.5,Diethylene glycol ethyl ether,0.987
108,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,164.201,0.0,36.8,Triethylene glycol methyl ether,1.0476
109,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,146.23,0.0,27.7,Ethylene glycol hexyl ether,0.8894
110,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,162.22899999999998,0.0,29.7,Diethylene glycol monobutyl ether,0.9536
111,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,150.174,0.0,45.1,Triethylene glycol,1.125
